date,client,project,task,description,duration_hours,billable
2026-01-20,Love INC,Love INC Mobile App,Development,"App bootstrap — Ionic/Capacitor shell, tabs, onboarding stub",22,no
2026-01-21,Love INC,Love INC Mobile App,Development,"Core content pages — About, Gap Ministries, partner churches, Google Maps, Tools, Contact",20,no
2026-01-21,Love INC,Love INC Mobile App,Development,"Donation flow UI — donate list, money donate screen, donate buttons",12,no
2026-01-22,Love INC,Love INC Mobile App,Development,"Branding and design system — custom font, brand colors, cards, icons, FAB",28,no
2026-01-22,Love INC,Love INC Mobile App,Development,"Dev standards — cursorrules, consolidated icon imports, Lucide icons",5,no
2026-01-24,Love INC,Love INC Mobile App,Development,Onboarding refactor and home user-type card,10,no
2026-01-24,Love INC,Love INC Mobile App,Development,"Home screen v1 — cards, layout, search and spacing polish",12,no
2026-01-29,Love INC,Love INC Mobile App,Development,"Pitch-ready polish — app icons, splash screens, notification UI rework",9,no
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,"Nx monorepo setup, Postgres/Prisma, initial schema and seed",2,no
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,Multi-customer and multi-affiliate (tenant) architecture with scoped queries,3,no
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,"Dev runner, Swagger API docs, structured logging, audit logging",2,no
2026-02-07,Love INC,Nonprofit Mobile Platform,Development,"Admin shell (PrimeNG), routing, tenant and customer picker",2,no
2026-02-07,Love INC,Nonprofit Mobile Platform,Development,"Shared libs: schedule engine, upload module, shared types",2,no
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"User CRUD, first/last name split, avatar uploads",2,no
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"Role system: super admin, customer admin, affiliate admin",2,no
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"Mobile app config: branding upload, navigation, localization",3,no
2026-02-09,Love INC,Nonprofit Mobile Platform,Development,"Organization profile module (Quill, partner info, focus areas)",3,no
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,Affiliate create/edit and tenants-to-affiliates terminology rename,2,no
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,Events module: CRUD and schedule rules,2,no
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,Quill rich text editor integration,1,no
2026-02-11,Love INC,Nonprofit Mobile Platform,Development,"Classes module: CRUD, instructors, schedule",2,no
2026-02-11,Love INC,Nonprofit Mobile Platform,Development,Locations module and multi-file upload,2,no
2026-02-12,Love INC,Nonprofit Mobile Platform,Development,Services and provider offerings: CRUD and slugs,2,no
2026-02-12,Love INC,Nonprofit Mobile Platform,Development,"People list, typeahead, initial volunteer positions",2,no
2026-02-13,Love INC,Nonprofit Mobile Platform,Development,CTAs module and global table improvements,2,no
2026-02-13,Love INC,Nonprofit Mobile Platform,Development,Dashboard widgets including calendar widget,2,no
2026-02-14,Love INC,Love INC Mobile App,Development,"GrovLink API layer — HTTP boilerplate, classes integration, platform config",14,no
2026-02-14,Love INC,Nonprofit Mobile Platform,Development,Public API controllers and API key authentication,2,no
2026-02-15,Love INC,Nonprofit Mobile Platform,Development,Impact stories and drag-and-drop app home feed,2,no
2026-02-16,Love INC,Nonprofit Mobile Platform,Development,S3 storage integration and file upload pipeline,2,no
2026-02-17,Love INC,Nonprofit Mobile Platform,Development,Cognito and Google OAuth integration,3,no
2026-02-18,Love INC,Nonprofit Mobile Platform,Development,"Docker (API, DB, nginx), EC2 deployment plan, CI/CD pipeline",4,no
