date,hours,client,project,task,description,isBillable
2026-01-20,22,Love INC,Love INC Mobile App,Development,"App bootstrap — Ionic/Capacitor shell, tabs, onboarding stub",true
2026-01-22,28,Love INC,Love INC Mobile App,Development,"Branding and design system — custom font, brand colors, cards, icons, FAB",true
2026-01-21,20,Love INC,Love INC Mobile App,Development,"Core content pages — About, Gap Ministries, partner churches, Google Maps, Tools, Contact",true
2026-01-21,12,Love INC,Love INC Mobile App,Development,"Donation flow UI — donate list, money donate screen, donate buttons",true
2026-01-24,10,Love INC,Love INC Mobile App,Development,"Onboarding refactor and home user-type card",true
2026-01-24,12,Love INC,Love INC Mobile App,Development,"Home screen v1 — cards, layout, search and spacing polish",true
2026-01-29,9,Love INC,Love INC Mobile App,Development,"Pitch-ready polish — app icons, splash screens, notification UI rework",true
2026-01-22,5,Love INC,Love INC Mobile App,Development,"Dev standards — cursorrules, consolidated icon imports, Lucide icons",true
2026-02-14,14,Love INC,Love INC Mobile App,Development,"GrovLink API layer — HTTP boilerplate, classes integration, platform config",true
2026-02-25,5,Love INC,Love INC Mobile App,Development,"Connect donation screen to GrovLink API",true
2026-02-25,3,Love INC,Love INC Mobile App,Development,"CocoaPods migration for iOS build",true
2026-02-24,5,Love INC,Love INC Mobile App,Development,"Impact and Updates pages",true
2026-02-26,22,Love INC,Love INC Mobile App,Development,"Volunteer experience — modal, profile panel, affiliate positions, page updates",true
2026-02-28,10,Love INC,Love INC Mobile App,Development,"Signup and registration forms",true
2026-03-04,20,Love INC,Love INC Mobile App,Development,"Push notifications — setup, integration, Verse of the Day tie-in",true
2026-03-04,2.5,Love INC,Love INC Mobile App,Development,"YouTube links via GrovLink proxy",true
2026-03-05,12,Love INC,Love INC Mobile App,Development,"Deep links, QR client access, white-screen fixes",true
2026-03-12,27,Love INC,Love INC Mobile App,Development,"Voucher system — auth, magic-link email, redeem flow, app-user linking",true
2026-03-15,8,Love INC,Love INC Mobile App,Development,"Home CTAs — donation CTA, Impact Story CTA, CTA row work",true
2026-03-15,22,Love INC,Love INC Mobile App,Development,"CSS and typography overhaul — px to rem, SCSS consolidation, remove component styles",true
2026-03-16,18,Love INC,Love INC Mobile App,Development,"Verse of the Day — NPM package v1/v2, in-app integration, share button",true
2026-03-16,7,Love INC,Love INC Mobile App,Development,"Forms and calendar — validation rules, field edits, calendar integration",true
2026-03-17,22,Love INC,Love INC Mobile App,Development,"Goal Tracker module — initial stub and full module",true
2026-03-17,14,Love INC,Love INC Mobile App,Development,"Stats and charts module — stub and UI",true
2026-03-18,27,Love INC,Love INC Mobile App,Development,"Simple Budget tool — module stub, PDF generation, home widget, UI polish",true
2026-03-20,5,Love INC,Love INC Mobile App,Development,"Client vs volunteer access rules and documentation",true
2026-03-28,7,Love INC,Love INC Mobile App,Development,"Church partner screens and map triggers on all locations",true
2026-04-02,4,Love INC,Love INC Mobile App,Development,"Quill rich-text editor — line breaks and HTML button styling",true
2026-04-07,2.5,Love INC,Love INC Mobile App,Development,"Pull-to-refresh on Home screen",true
2026-04-07,10,Love INC,Love INC Mobile App,Development,"Class registration UI and API wiring",true
2026-04-23,18,Love INC,Love INC Mobile App,Development,"Journal tool — stub-out and iteration",true
2026-04-23,3,Love INC,Love INC Mobile App,Development,"Meet Our Staff screen",true
2026-04-25,18,Love INC,Love INC Mobile App,Development,"App Store submission prep — content updates, Client/Just Looking access, build tweaks",true
2026-05-06,10,Love INC,Love INC Mobile App,Development,"Bug-fix and stabilization pass — foreground white-screen fix, assorted mods",true
2026-05-08,10,Love INC,Love INC Mobile App,Development,"More screen expansion — new items and layout",true
2026-06-27,5,Love INC,Love INC Mobile App,Development,"Build automation and App Store deploy v1.0.3",true
