date,client,project,task,description,duration_hours,billable
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,"Nx monorepo setup, Postgres/Prisma, initial schema and seed",2,yes
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,"Multi-customer and multi-affiliate (tenant) architecture with scoped queries",3,yes
2026-02-06,Love INC,Nonprofit Mobile Platform,Development,"Dev runner, Swagger API docs, structured logging, audit logging",2,yes
2026-02-07,Love INC,Nonprofit Mobile Platform,Development,"Admin shell (PrimeNG), routing, tenant and customer picker",2,yes
2026-02-07,Love INC,Nonprofit Mobile Platform,Development,"Shared libs: schedule engine, upload module, shared types",2,yes
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"User CRUD, first/last name split, avatar uploads",2,yes
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"Role system: super admin, customer admin, affiliate admin",2,yes
2026-02-08,Love INC,Nonprofit Mobile Platform,Development,"Mobile app config: branding upload, navigation, localization",3,yes
2026-02-09,Love INC,Nonprofit Mobile Platform,Development,"Organization profile module (Quill, partner info, focus areas)",3,yes
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,"Affiliate create/edit and tenants-to-affiliates terminology rename",2,yes
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,"Events module: CRUD and schedule rules",2,yes
2026-02-10,Love INC,Nonprofit Mobile Platform,Development,"Quill rich text editor integration",1,yes
2026-02-11,Love INC,Nonprofit Mobile Platform,Development,"Classes module: CRUD, instructors, schedule",2,yes
2026-02-11,Love INC,Nonprofit Mobile Platform,Development,"Locations module and multi-file upload",2,yes
2026-02-12,Love INC,Nonprofit Mobile Platform,Development,"Services and provider offerings: CRUD and slugs",2,yes
2026-02-12,Love INC,Nonprofit Mobile Platform,Development,"People list, typeahead, initial volunteer positions",2,yes
2026-02-13,Love INC,Nonprofit Mobile Platform,Development,"CTAs module and global table improvements",2,yes
2026-02-13,Love INC,Nonprofit Mobile Platform,Development,"Dashboard widgets including calendar widget",2,yes
2026-02-14,Love INC,Nonprofit Mobile Platform,Development,"Public API controllers and API key authentication",2,yes
2026-02-15,Love INC,Nonprofit Mobile Platform,Development,"Impact stories and drag-and-drop app home feed",2,yes
2026-02-16,Love INC,Nonprofit Mobile Platform,Development,"S3 storage integration and file upload pipeline",2,yes
2026-02-17,Love INC,Nonprofit Mobile Platform,Development,"Cognito and Google OAuth integration",3,yes
2026-02-18,Love INC,Nonprofit Mobile Platform,Development,"Docker (API, DB, nginx), EC2 deployment plan, CI/CD pipeline",4,yes
2026-02-18,Love INC,Nonprofit Mobile Platform,Development,"Login, logout, and CORS fixes",1,yes
2026-02-19,Love INC,Nonprofit Mobile Platform,Development,"CLI tools for super user creation and invites",1,yes
2026-02-20,Love INC,Nonprofit Mobile Platform,Development,"Login polish, favicon, color palette updates",1,yes
2026-02-21,Love INC,Nonprofit Mobile Platform,Development,"User avatars to S3, Quill in org and affiliate forms",2,yes
2026-02-22,Love INC,Nonprofit Mobile Platform,Development,"File upload fixes and S3 production configuration",2,yes
2026-02-23,Love INC,Nonprofit Mobile Platform,Development,"Form validation, 508 color compliance, email message templates",2,yes
2026-02-23,Love INC,Nonprofit Mobile Platform,Development,"Class attachments in API and recurring events schedule fix",1,yes
